model,arm,sample_id,from,to,from_short,to_short,from_idx,to_idx,delta,abs_delta,direction
claude,ct_old,337,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,ct_old,351,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,395,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,ct_old,467,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,525,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,612,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,619,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,620,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,622,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,628,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,633,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,674,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,ct_old,677,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,713,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,762,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,784,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,837,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,854,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,855,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,905,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1020,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1043,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1077,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1105,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1129,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1130,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,ct_old,1143,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1153,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1176,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1185,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1193,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1243,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1251,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1258,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1266,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1280,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1286,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
claude,ct_old,1294,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1304,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1315,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1321,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1438,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1450,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1486,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1585,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,ct_old,1640,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1642,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1667,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1795,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1861,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1864,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1871,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1872,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1882,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1886,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,1914,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1936,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,1963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2024,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2147,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2182,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2239,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2296,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,4,2,-2,2,down
claude,ct_old,2390,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2396,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2426,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2444,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2451,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2457,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2463,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2464,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2484,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2490,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2503,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,ct_old,2559,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2563,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2630,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2644,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_old,2649,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_old,2679,Seek same-day in-person care,Call 911 / Emergency Services,Same-day,911,3,0,-3,3,down
claude,ct_new,4,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,113,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,4,2,-2,2,down
claude,ct_new,151,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,163,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,233,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,271,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,296,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,337,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,351,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,395,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,ct_new,417,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,422,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,449,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,455,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,480,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,503,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,612,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,619,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,620,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,633,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,639,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,674,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,ct_new,677,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,713,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,762,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,800,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,837,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,854,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,855,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,940,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1020,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1046,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1129,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1130,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,ct_new,1143,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1153,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1161,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1185,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1192,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1228,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1243,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1251,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1258,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1294,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1304,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1315,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1321,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1450,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1481,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
claude,ct_new,1486,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1516,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1524,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1553,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1585,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,ct_new,1604,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1640,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1667,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1686,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1795,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1845,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1852,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1861,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1864,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1871,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1872,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,1914,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1927,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,1963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2038,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2084,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2147,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2172,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2173,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2186,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2239,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2260,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,ct_new,2268,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2333,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2359,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2390,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2391,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2407,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2426,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2451,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2457,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2459,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2463,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2464,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2484,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2490,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2491,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2563,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2579,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2591,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2603,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2630,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,ct_new,2649,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,ct_new,2679,Seek same-day in-person care,Call 911 / Emergency Services,Same-day,911,3,0,-3,3,down
claude,ct_new,2692,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,0,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,8,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,34,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,4,2,-2,2,down
gemini,format_tone,38,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
gemini,format_tone,42,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,76,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,91,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,106,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,108,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,121,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,128,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,131,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,143,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
gemini,format_tone,151,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,160,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,180,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,184,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,194,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,201,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,237,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,249,Self-care at home,Go to the emergency department now,Home,ED,5,1,-4,4,down
gemini,format_tone,274,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,318,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,340,Call 911 / Emergency Services,Schedule non-urgent medical appointment,911,Non-urgent,0,4,4,4,up
gemini,format_tone,345,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,423,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,441,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,459,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,487,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,491,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,503,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,516,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,518,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,523,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,528,Self-care at home,Call 911 / Emergency Services,Home,911,5,0,-5,5,down
gemini,format_tone,531,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,558,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,569,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,575,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
gemini,format_tone,580,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,597,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,615,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,645,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,657,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,667,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,689,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
gemini,format_tone,697,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,714,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,768,Call 911 / Emergency Services,Go to urgent care,911,UC,0,2,2,2,up
gemini,format_tone,777,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,784,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,790,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,800,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,825,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,831,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,840,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,859,Self-care at home,Call 911 / Emergency Services,Home,911,5,0,-5,5,down
gemini,format_tone,869,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,932,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,942,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,944,Seek same-day in-person care,Self-care at home,Same-day,Home,3,5,2,2,up
gemini,format_tone,963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,968,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,984,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,986,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,989,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,997,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,1007,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,1016,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,1036,Call 911 / Emergency Services,Schedule non-urgent medical appointment,911,Non-urgent,0,4,4,4,up
gemini,format_tone,1038,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,1040,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,1043,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,1045,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,1046,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,1055,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,1059,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,1082,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
gemini,format_tone,1113,Seek same-day in-person care,Self-care at home,Same-day,Home,3,5,2,2,up
gemini,format_tone,1130,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,1131,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,1132,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
gemini,format_tone,1149,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
gemini,format_tone,1153,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,1157,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
gemini,format_tone,1159,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
gemini,format_tone,1160,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
